time	V(vin)
0.000000000000000e+000	3.000000e+000
2.318839289988059e-005	3.151874e+000
4.637678579976118e-005	3.293697e+000
6.956517869964177e-005	3.425468e+000
9.275357159952236e-005	3.547189e+000
1.159419644994030e-004	3.658859e+000
1.391303573992835e-004	3.760477e+000
1.623187502991641e-004	3.852045e+000
2.013812502991641e-004	3.953702e+000
2.404437502991640e-004	3.998198e+000
2.795062502991641e-004	3.982864e+000
3.185687502991641e-004	3.908619e+000
3.576312502991641e-004	3.779915e+000
3.966937502991642e-004	3.604464e+000
4.552875002991642e-004	3.277256e+000
4.748187502991642e-004	3.153016e+000
4.943500002991643e-004	3.030966e+000
5.138812502991643e-004	2.911106e+000
5.334125002991643e-004	2.793437e+000
5.529437502991644e-004	2.677959e+000
5.724750002991644e-004	2.564670e+000
5.920062502991643e-004	2.453573e+000
6.310687502991643e-004	2.266451e+000
6.506000002991643e-004	2.188773e+000
6.701312502991643e-004	2.123296e+000
6.896625002991644e-004	2.071006e+000
7.091937502991644e-004	2.032689e+000
7.287250002991644e-004	2.008921e+000
7.448206086292526e-004	2.000530e+000
7.630743418223780e-004	2.003372e+000
7.826055918223780e-004	2.020912e+000
8.021368418223780e-004	2.053178e+000
8.216680918223781e-004	2.099685e+000
8.411993418223781e-004	2.159734e+000
8.607305918223781e-004	2.232421e+000
8.997930918223781e-004	2.411164e+000
9.388555918223782e-004	2.625199e+000
1.075574341822378e-003	3.457203e+000
1.114636841822378e-003	3.659599e+000
1.153699341822378e-003	3.822459e+000
1.192761841822378e-003	3.936024e+000
1.231824341822378e-003	3.993486e+000
1.264136188250303e-003	3.996058e+000
1.303198688250303e-003	3.944654e+000
1.342261188250303e-003	3.836630e+000
1.381323688250303e-003	3.678461e+000
1.439917438250303e-003	3.368607e+000
1.459448688250303e-003	3.247480e+000
1.478979938250303e-003	3.127123e+000
1.498511188250303e-003	3.007535e+000
1.518042438250303e-003	2.888716e+000
1.537573688250303e-003	2.770666e+000
1.557104938250303e-003	2.653385e+000
1.576636188250303e-003	2.536874e+000
1.615698688250303e-003	2.335402e+000
1.635229938250303e-003	2.248934e+000
1.654761188250303e-003	2.173764e+000
1.674292438250303e-003	2.111021e+000
1.693823688250303e-003	2.061649e+000
1.713354938250303e-003	2.026390e+000
1.732886188250303e-003	2.005776e+000
1.764778867646190e-003	2.004308e+000
1.784310117646190e-003	2.023147e+000
1.803841367646190e-003	2.056678e+000
1.823372617646190e-003	2.104398e+000
1.842903867646190e-003	2.165589e+000
1.862435117646190e-003	2.239329e+000
1.901497617646190e-003	2.419853e+000
1.940560117646190e-003	2.635150e+000
1.960091367646190e-003	2.756430e+000
1.979622617646190e-003	2.876880e+000
1.999153867646190e-003	2.996502e+000
2.018685117646190e-003	3.115295e+000
2.038216367646190e-003	3.233260e+000
2.057747617646190e-003	3.350395e+000
2.077278867646190e-003	3.466702e+000
2.116341367646190e-003	3.667610e+000
2.155403867646190e-003	3.828504e+000
2.194466367646190e-003	3.939740e+000
2.233528867646190e-003	3.994650e+000
2.265735149292713e-003	3.995117e+000
2.304797649292713e-003	3.941311e+000
2.343860149292713e-003	3.831085e+000
2.382922649292713e-003	3.671046e+000
2.441516399292713e-003	3.359249e+000
2.461047649292713e-003	3.237746e+000
2.480578899292713e-003	3.117160e+000
2.500110149292713e-003	2.997491e+000
2.519641399292714e-003	2.878740e+000
2.539172649292714e-003	2.760907e+000
2.558703899292714e-003	2.643991e+000
2.578235149292714e-003	2.527993e+000
2.617297649292714e-003	2.327928e+000
2.636828899292714e-003	2.242339e+000
2.656360149292714e-003	2.168146e+000
2.675891399292714e-003	2.106465e+000
2.695422649292714e-003	2.058223e+000
2.714953899292714e-003	2.024147e+000
